Date,Commodity,Price,Unit,File_Source
2018-05,Medium size Cabag,5.75,single,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Medium size Cucumber,7.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Medium size Pidgeon,57,pair,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Mulet Fish,64,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Nesto Chese,8,pieces,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Normal Wheat,8.14,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Old Roumi Chese,96,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Onion,5.35,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Potato,5.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Smal size Banana,9.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Smal size Squash,6.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,St roarw lbesesry,9.65,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Tilapia Fish,29,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Tomato,4.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Watermelon Shilian,3.86,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Yelow Curot without,3.75,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Domestic frozen slaughtered white chicken,43,single,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-06,(net meat)Midle age bufalo & catle,148,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Apricot Jam,10.81,340 gram,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Black Peper Grain,141.4,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Buffalo Butter,96,850 gram,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Cantaloupe,5.37,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Catefish,20,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Citrus,17,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Corindar,24.78,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Corn Oil,27.15,Liter,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Cotton Seed Oil,20.5,Liter,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Crushed Beans,12.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Crushed Lentil,20.65,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Cumin,79,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Domestic Chicken,41,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Domestic Duck,49,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Domestic frozen slaughtered white chicken,43,single,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Dry Beans,28.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Dry Black Beans,17.75,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Eggplant,5.4,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Farm Chese,27,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Farm Chicken,34,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Fresh Milk,14,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Frozen Macaroni fish,30,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Frozen Macril fish,41,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Garlic,13,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Green Beans,7.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Gren Paper,5.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Imported frozen bufalo meat,79,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Lentil,25.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Medium size Cabag,5.75,single,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Medium size Cucumber,8.25,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Medium size Pidgeon,57,pair,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Medium size farm Egg,1.59,single,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Mulet Fish,67,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Nesto Cheese,8,pieces,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Normal Wheat,8.14,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Old Roumi Chese,101,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Onion,5.85,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Pack of Tea,4.25,40 gram,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Packed Honey,18.2,250 gram,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Packed Sugar,14,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Packed White Rice,14.4,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Potato,6.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Shep meat with bones,150,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Smal size Banana,10.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Small size Squash,7.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Stored Ful Crиme White Chese,51.91,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Strawbery,9.65,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Sun Flower Oil,23.5,Liter,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Tilapia Fish,29,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Tomato,4,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Unpacked Buffalo butter,97,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Unpacked Halva,33,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Unpacked Imported Catle’s Buter,128,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Unpacked Molases,11.7,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Unpacked Pasta,7.59,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Unpacked Rice,10.3,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Unpacked Tahina,45.79,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Unpacked Wheat Flour,6.93,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Watermelon shillian,3.86,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Yellow Currot without leaps,4.25,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-06,Young age buffalo with bones,143,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 6 - 2018.pdf
2018-07,Apricot Jam,10.81,340 gram,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Black Peper Grain,146.4,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Bufalo Buter,96,850 gram,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Cantaloupe,5.37,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Catefish,20,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Citrus,10,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Corindar,24.78,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Corn Oil,27.15,Liter,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Coton Sed Oil,20.5,Liter,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Crushed Beans,12.55,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Crushed Lentil,20.65,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Cumin,79,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Domestic Chicken,38,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Domestic Duck,47,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Dry Beans,28.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Dry Black Beans,18.75,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Eggplant,4.25,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Farm Chese,27,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Farm Chicken,31,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Fresh Milk,14,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Frozen Macaroni fish,30,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Frozen Macril fish,41,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Garlic,13,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Gren Beans,14.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Gren Paper,6.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Imported frozen buffalo meat,79,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Lentil,25.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Medium size Cabbag,5.75,single,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Medium size Cucumber,8.75,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Medium size Pidgeon,56,pair,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Medium size farm Eg,1.59,single,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Mullet Fish,64,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Nesto Chese,8,pieces,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Normal Wheat,8.14,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Old Roumi Chese,104,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Onion,6.85,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Pack of Tea,4.25,40 gram,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Packed Honey,18.2,250 gram,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Packed Sugar,14,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Packed White Rice,14.65,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Potato,6.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Shep meat with bones,150,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Smal size Banana,14,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Smal size Squash,8,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Stored Full Crиme White Chesse,52.91,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Strawberry,8.15,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Sun Flower Oil,23.5,Liter,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Tilapia Fish,28,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Tomato,5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Unpacked Buffalo butter,97,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Unpacked Halva,33,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Unpacked Imported Cattle’s Butter,119,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Unpacked Molases,11.7,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Unpacked Pasta,7.59,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Unpacked Rice,10.3,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Unpacked Tahina,45.79,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Unpacked Wheat Flour,6.93,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Watermelon shillian,4.11,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Yellow Currot without leaps,4.25,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-07,Young age buffalo with bones,143,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 7 - 2018.pdf
2018-08,Apricot Jam,10.85,340 gram,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 8 - 2018.pdf
2018-08,Black Peper Grain,146.4,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 8 - 2018.pdf
2018-08,Broad Beans,19.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 8 - 2018.pdf
